country,region,city,priority,focus,notes
"Canada","British Columbia","Vancouver","1","off-road fabrication | motorsport fabrication | tube chassis","Large fabrication base and strong off-road/custom shop density."
"Canada","British Columbia","Surrey","1","off-road fabrication | roll cage | chassis","Good fit for custom fabrication and 4x4-oriented shops."
"Canada","British Columbia","Kelowna","1","motorsport fabrication | roll cage | off-road fabrication","Already showing strong fit signals in current prospecting."
"Canada","British Columbia","Abbotsford","1","off-road fabrication | truck equipment | tubular assemblies","Fraser Valley market with agricultural and truck fabrication overlap."
"Canada","British Columbia","Chilliwack","1","off-road fabrication | truck equipment | chassis","Good fit for custom truck and off-road fabrication."
"Canada","British Columbia","Langley","1","off-road fabrication | roll cage | truck equipment","High-value lower mainland target near Surrey and Abbotsford."
"Canada","British Columbia","Kamloops","2","off-road fabrication | metal fabrication | chassis","Interior BC hub with industrial/fabrication overlap."
"Canada","British Columbia","Nanaimo","2","metal fabrication | tubular assemblies | marine fabrication","Good island fabrication target."
"Canada","British Columbia","Victoria","2","metal fabrication | marine fabrication | tubular assemblies","Broader industrial/custom fabrication coverage."
"Canada","British Columbia","Prince George","3","metal fabrication | truck equipment | tubular assemblies","Northern industrial fabrication target."
"Canada","British Columbia","Penticton","3","off-road fabrication | metal fabrication | chassis","Smaller but regionally relevant interior target."
"Canada","British Columbia","Vernon","3","off-road fabrication | truck equipment | metal fabrication","Interior truck/off-road adjacency."
"Canada","Alberta","Calgary","1","motorsport fabrication | roll cage | welded tube frame","Large Alberta target with off-road and race fabrication potential."
"Canada","Alberta","Edmonton","1","off-road fabrication | welded tube frame | chassis","Strong industrial/fabrication base and custom truck/off-road market."
"Canada","Alberta","Red Deer","1","metal fabrication | off-road fabrication | tubular assemblies","Useful mid-market Alberta search target."
"Canada","Alberta","Lethbridge","2","metal fabrication | agricultural fabrication | tubular assemblies","Southern Alberta industrial target."
"Canada","Alberta","Medicine Hat","2","metal fabrication | truck equipment | welded tube","Secondary Alberta industrial market."
"Canada","Alberta","Grande Prairie","2","oilfield fabrication | truck equipment | tubular assemblies","Northern Alberta repeat fabrication target."
"Canada","Alberta","Fort McMurray","3","oilfield fabrication | heavy equipment fabrication | tubular assemblies","Resource-sector fabrication adjacency."
"Canada","Alberta","Airdrie","2","off-road fabrication | truck equipment | chassis","Calgary-adjacent target."
"Canada","Saskatchewan","Saskatoon","2","metal fabrication | agricultural fabrication | tubular assemblies","Can surface repeat fabrication shops beyond motorsport."
"Canada","Saskatchewan","Regina","2","metal fabrication | truck equipment | welded tube","Secondary prairie fabrication market."
"Canada","Saskatchewan","Prince Albert","3","metal fabrication | truck equipment | tubular assemblies","Northern Saskatchewan industrial coverage."
"Canada","Saskatchewan","Moose Jaw","3","metal fabrication | agricultural fabrication | welded tube","Smaller prairie target."
"Canada","Manitoba","Winnipeg","2","metal fabrication | contract manufacturing | welded tube","Larger prairie manufacturing base."
"Canada","Manitoba","Brandon","3","metal fabrication | agricultural fabrication | tubular assemblies","Secondary Manitoba industrial center."
"Canada","Ontario","Toronto","2","contract manufacturing | tubular assemblies | metal fabrication","Large GTA industrial base."
"Canada","Ontario","Mississauga","2","contract manufacturing | tubular assemblies | metal fabrication","Large GTA industrial base."
"Canada","Ontario","Brampton","2","metal fabrication | truck equipment | contract manufacturing","Useful GTA fabrication search target."
"Canada","Ontario","Hamilton","2","metal fabrication | industrial manufacturing | tubular assemblies","Large industrial market with fabrication depth."
"Canada","Ontario","Kitchener","2","metal fabrication | contract manufacturing | tubular assemblies","Southwestern Ontario manufacturing hub."
"Canada","Ontario","Cambridge","2","metal fabrication | tubular assemblies | contract manufacturing","Manufacturing-heavy Waterloo region target."
"Canada","Ontario","Guelph","2","metal fabrication | agricultural fabrication | tubular assemblies","Industrial and agricultural equipment overlap."
"Canada","Ontario","London","2","metal fabrication | tubular assemblies | motorsport","Good secondary Ontario industrial center."
"Canada","Ontario","Windsor","2","automotive fabrication | tubular assemblies | contract manufacturing","Automotive-adjacent fabrication potential."
"Canada","Ontario","Oshawa","2","automotive fabrication | tubular assemblies | industrial manufacturing","GTA east automotive adjacency."
"Canada","Ontario","Kingston","3","metal fabrication | tubular assemblies","Broader eastern Ontario coverage."
"Canada","Ontario","Sudbury","3","mining equipment fabrication | tubular assemblies | metal fabrication","Northern Ontario industrial target."
"Canada","Ontario","Thunder Bay","3","metal fabrication | truck equipment | tubular assemblies","Northwestern Ontario industrial target."
"Canada","Ontario","Barrie","3","metal fabrication | truck equipment | tubular assemblies","Central Ontario regional coverage."
"Canada","Quebec","Montreal","2","metal fabrication | contract manufacturing | tubular assemblies","Large market with broad fabrication coverage."
"Canada","Quebec","Laval","2","metal fabrication | tubular assemblies | contract manufacturing","Montreal-adjacent industrial base."
"Canada","Quebec","Longueuil","2","metal fabrication | tubular assemblies","Montreal-area coverage."
"Canada","Quebec","Quebec City","3","metal fabrication | tubular assemblies","Broader industrial coverage."
"Canada","Quebec","Sherbrooke","3","metal fabrication | contract manufacturing | tubular assemblies","Eastern Quebec industrial coverage."
"Canada","New Brunswick","Moncton","3","metal fabrication | tubular assemblies | truck equipment","Atlantic Canada industrial coverage."
"Canada","New Brunswick","Saint John","3","industrial fabrication | tubular assemblies","Port and industrial market."
"Canada","Nova Scotia","Halifax","3","metal fabrication | marine fabrication | tubular assemblies","Atlantic custom and industrial fabrication target."
"Canada","Nova Scotia","Cape Breton","3","metal fabrication | marine fabrication","Long-tail Atlantic coverage."
"Canada","Newfoundland and Labrador","St. John's","3","industrial fabrication | marine fabrication | tubular assemblies","Atlantic resource and marine adjacency."
"United States","Washington","Seattle","2","motorsport fabrication | marine fabrication | tubular assemblies","Large custom fabrication market with adjacent industrial demand."
"United States","Washington","Tacoma","2","metal fabrication | truck equipment | tubular assemblies","Puget Sound industrial coverage."
"United States","Washington","Everett","2","metal fabrication | tubular assemblies | industrial manufacturing","Broad industrial target."
"United States","Washington","Spokane","2","off-road fabrication | chassis | truck equipment","Closer regional fit for western Canada style markets."
"United States","Washington","Yakima","3","agricultural fabrication | truck equipment | tubular assemblies","Eastern Washington regional market."
"United States","Oregon","Portland","2","motorsport fabrication | off-road fabrication | tubular assemblies","Strong custom fabrication ecosystem."
"United States","Oregon","Salem","3","metal fabrication | tubular assemblies | truck equipment","Willamette Valley coverage."
"United States","Oregon","Eugene","3","metal fabrication | tubular assemblies | custom fabrication","Secondary Oregon market."
"United States","Idaho","Boise","1","off-road fabrication | roll cage | tube chassis","High-likelihood off-road and UTV fabrication target."
"United States","Idaho","Idaho Falls","2","off-road fabrication | truck equipment | tubular assemblies","Mountain west off-road adjacency."
"United States","Idaho","Twin Falls","3","metal fabrication | tubular assemblies | truck equipment","Secondary Idaho market."
"United States","Montana","Billings","2","truck equipment | metal fabrication | tubular assemblies","Regional industrial and truck market."
"United States","Montana","Missoula","3","off-road fabrication | custom fabrication | tubular assemblies","Western Montana custom market."
"United States","Utah","Salt Lake City","1","off-road fabrication | roll cage | UTV fabrication","Very strong off-road / powersports fit."
"United States","Utah","Ogden","2","metal fabrication | truck equipment | tubular assemblies","Northern Utah industrial coverage."
"United States","Utah","St. George","2","off-road fabrication | UTV fabrication | roll cage","Southern Utah off-road fit."
"United States","Nevada","Las Vegas","1","off-road fabrication | tube chassis | race fabrication","Desert racing and custom fabrication relevance."
"United States","Nevada","Reno","1","off-road fabrication | roll cage | tube chassis","Strong desert/motorsport adjacency."
"United States","Nevada","Carson City","2","off-road fabrication | truck equipment | tubular assemblies","Northern Nevada coverage."
"United States","Arizona","Phoenix","1","off-road fabrication | UTV fabrication | roll cage","One of the strongest US off-road fabrication markets."
"United States","Arizona","Mesa","1","off-road fabrication | truck equipment | tubular assemblies","Phoenix metro industrial coverage."
"United States","Arizona","Tucson","2","off-road fabrication | tubular assemblies | metal fabrication","Southern Arizona off-road market."
"United States","Arizona","Prescott","2","off-road fabrication | UTV fabrication | roll cage","Smaller but relevant Arizona target."
"United States","Colorado","Denver","1","off-road fabrication | chassis | motorsport fabrication","High-value mountain west target."
"United States","Colorado","Colorado Springs","1","off-road fabrication | truck equipment | chassis","Good off-road and truck fit."
"United States","Colorado","Fort Collins","2","metal fabrication | tubular assemblies | custom fabrication","Northern Colorado fabrication coverage."
"United States","Colorado","Grand Junction","2","off-road fabrication | truck equipment | tubular assemblies","Western Colorado off-road adjacency."
"United States","New Mexico","Albuquerque","2","off-road fabrication | truck equipment | tubular assemblies","Southwest off-road and truck market."
"United States","New Mexico","Las Cruces","3","metal fabrication | tubular assemblies | truck equipment","Secondary New Mexico target."
"United States","California","San Diego","2","off-road fabrication | race fabrication | tubular assemblies","Strong off-road and race market."
"United States","California","Riverside","1","off-road fabrication | roll cage | tube chassis","Inland SoCal has dense truck/off-road fabrication activity."
"United States","California","Anaheim","2","motorsport fabrication | metal fabrication | tubular assemblies","Broader Southern California industrial/custom market."
"United States","California","Los Angeles","2","metal fabrication | tubular assemblies | custom fabrication","Large broad-market search target."
"United States","California","Long Beach","2","metal fabrication | tubular assemblies | marine fabrication","Industrial and port-side fabrication coverage."
"United States","California","Santa Ana","2","metal fabrication | tubular assemblies | custom fabrication","Orange County coverage."
"United States","California","Oceanside","2","off-road fabrication | tubular assemblies | race fabrication","North San Diego County target."
"United States","California","Sacramento","2","metal fabrication | tubular assemblies | truck equipment","Northern California industrial/custom market."
"United States","California","Fresno","2","agricultural fabrication | truck equipment | tubular assemblies","Central Valley industrial market."
"United States","California","Bakersfield","2","oilfield fabrication | truck equipment | tubular assemblies","Central California industrial target."
"United States","California","San Jose","2","metal fabrication | tubular assemblies | contract manufacturing","Bay Area industrial/custom coverage."
"United States","Texas","Dallas","2","truck equipment | metal fabrication | tubular assemblies","Large market for industrial/custom fabrication."
"United States","Texas","Fort Worth","2","off-road fabrication | truck equipment | chassis","Useful DFW truck/off-road segment."
"United States","Texas","Houston","2","industrial fabrication | tubular assemblies | contract manufacturing","More industrial than off-road, but broad manufacturing base."
"United States","Texas","San Antonio","2","truck equipment | off-road fabrication | tubular assemblies","Strong truck and fabrication market."
"United States","Texas","Austin","2","custom fabrication | tubular assemblies | motorsport fabrication","Broader custom fabrication market."
"United States","Texas","El Paso","2","metal fabrication | tubular assemblies | truck equipment","Border-region manufacturing and truck market."
"United States","Texas","Lubbock","3","agricultural fabrication | truck equipment | tubular assemblies","West Texas coverage."
"United States","Texas","Midland","2","oilfield fabrication | tubular assemblies | truck equipment","Permian Basin industrial target."
"United States","Texas","Odessa","2","oilfield fabrication | tubular assemblies | truck equipment","Permian Basin industrial target."
"United States","Texas","Corpus Christi","3","industrial fabrication | tubular assemblies","Coastal industrial coverage."
"United States","Oklahoma","Tulsa","2","oilfield fabrication | tubular assemblies | truck equipment","Useful for industrial repeat tube work."
"United States","Oklahoma","Oklahoma City","2","truck equipment | metal fabrication | tubular assemblies","Large central plains industrial market."
"United States","Kansas","Wichita","2","metal fabrication | tubular assemblies | industrial manufacturing","Aerospace-adjacent manufacturing region."
"United States","Kansas","Topeka","3","metal fabrication | tubular assemblies | truck equipment","Secondary Kansas target."
"United States","Missouri","Kansas City","2","metal fabrication | tubular assemblies | contract manufacturing","Central US manufacturing search target."
"United States","Missouri","St. Louis","2","metal fabrication | tubular assemblies | industrial manufacturing","Major central industrial market."
"United States","Nebraska","Omaha","2","metal fabrication | truck equipment | tubular assemblies","Plains industrial and trucking market."
"United States","Nebraska","Lincoln","3","metal fabrication | tubular assemblies | agricultural fabrication","Secondary Nebraska target."
"United States","South Dakota","Sioux Falls","3","metal fabrication | tubular assemblies | truck equipment","Regional industrial market."
"United States","North Dakota","Fargo","3","agricultural fabrication | truck equipment | tubular assemblies","Upper plains industrial target."
"United States","Minnesota","Minneapolis","2","metal fabrication | tubular assemblies | contract manufacturing","Large upper midwest manufacturing market."
"United States","Minnesota","Duluth","3","industrial fabrication | tubular assemblies","Northern Minnesota industrial coverage."
"United States","Iowa","Des Moines","3","metal fabrication | agricultural fabrication | tubular assemblies","Central Iowa coverage."
"United States","Wisconsin","Milwaukee","2","metal fabrication | tubular assemblies | industrial manufacturing","Strong industrial fabrication market."
"United States","Wisconsin","Green Bay","3","metal fabrication | tubular assemblies | truck equipment","Regional Wisconsin market."
"United States","Illinois","Chicago","2","contract manufacturing | tubular assemblies | metal fabrication","Large broad-market industrial coverage."
"United States","Illinois","Rockford","2","metal fabrication | tubular assemblies | industrial manufacturing","Northern Illinois industrial target."
"United States","Michigan","Detroit","2","automotive fabrication | tubular assemblies | contract manufacturing","Automotive-adjacent repeat fabrication."
"United States","Michigan","Grand Rapids","2","metal fabrication | tubular assemblies | industrial manufacturing","Western Michigan industrial market."
"United States","Michigan","Flint","3","automotive fabrication | tubular assemblies","Secondary Michigan automotive market."
"United States","Indiana","Indianapolis","1","motorsport fabrication | chassis | race fabrication","Very strong motorsport fit."
"United States","Indiana","Fort Wayne","2","metal fabrication | tubular assemblies | industrial manufacturing","Northeast Indiana industrial target."
"United States","Ohio","Cleveland","2","metal fabrication | tubular assemblies | industrial manufacturing","Broader industrial repeat fabrication."
"United States","Ohio","Columbus","2","metal fabrication | tubular assemblies | contract manufacturing","Central Ohio manufacturing market."
"United States","Ohio","Cincinnati","2","metal fabrication | tubular assemblies | industrial manufacturing","Southern Ohio industrial target."
"United States","Kentucky","Louisville","2","metal fabrication | truck equipment | tubular assemblies","Logistics and industrial market."
"United States","Kentucky","Lexington","3","metal fabrication | tubular assemblies | motorsport","Secondary Kentucky market."
"United States","Tennessee","Knoxville","1","race fabrication | roll cage | chassis","Good motorsport and fabrication adjacency."
"United States","Tennessee","Nashville","2","custom fabrication | tubular assemblies | truck equipment","Growing custom fabrication market."
"United States","Tennessee","Chattanooga","2","metal fabrication | tubular assemblies | truck equipment","Industrial southeast target."
"United States","North Carolina","Charlotte","1","motorsport fabrication | race fabrication | tubular assemblies","Strong racing ecosystem."
"United States","North Carolina","Greensboro","2","metal fabrication | tubular assemblies | industrial manufacturing","Piedmont manufacturing target."
"United States","North Carolina","Raleigh","2","custom fabrication | tubular assemblies | contract manufacturing","Broader RTP area coverage."
"United States","South Carolina","Greenville","2","metal fabrication | tubular assemblies | motorsport fabrication","Strong manufacturing and motorsport adjacency."
"United States","South Carolina","Charleston","3","industrial fabrication | tubular assemblies","Coastal industrial target."
"United States","Georgia","Atlanta","2","truck equipment | metal fabrication | tubular assemblies","Large southeast fabrication market."
"United States","Georgia","Savannah","3","industrial fabrication | tubular assemblies","Port and industrial coverage."
"United States","Alabama","Birmingham","2","metal fabrication | tubular assemblies | industrial manufacturing","Strong industrial southeast target."
"United States","Alabama","Huntsville","2","metal fabrication | tubular assemblies | contract manufacturing","High-tech manufacturing adjacency."
"United States","Mississippi","Jackson","3","metal fabrication | tubular assemblies | truck equipment","Lower-priority regional coverage."
"United States","Florida","Orlando","3","motorsport fabrication | custom fabrication | tubular assemblies","Lower priority, but still useful for coverage."
"United States","Florida","Tampa","3","metal fabrication | tubular assemblies | custom fabrication","Central Florida coverage."
"United States","Florida","Jacksonville","3","truck equipment | metal fabrication | tubular assemblies","North Florida truck and fabrication market."
"United States","Florida","Miami","3","custom fabrication | tubular assemblies | marine fabrication","South Florida broad-market coverage."
"United States","Virginia","Richmond","2","metal fabrication | tubular assemblies | truck equipment","Mid-Atlantic industrial coverage."
"United States","Virginia","Virginia Beach","3","industrial fabrication | tubular assemblies | marine fabrication","Coastal Virginia coverage."
"United States","Maryland","Baltimore","2","metal fabrication | tubular assemblies | industrial manufacturing","Mid-Atlantic industrial market."
"United States","Pennsylvania","Pittsburgh","2","metal fabrication | industrial manufacturing | tubular assemblies","Industrial fabrication search target."
"United States","Pennsylvania","Philadelphia","2","metal fabrication | tubular assemblies | contract manufacturing","Large northeast manufacturing coverage."
"United States","Pennsylvania","Allentown","3","metal fabrication | tubular assemblies | industrial manufacturing","Eastern Pennsylvania industrial target."
"United States","New Jersey","Newark","2","metal fabrication | tubular assemblies | contract manufacturing","Northeast industrial coverage."
"United States","New York","Buffalo","2","metal fabrication | tubular assemblies | industrial manufacturing","Western New York industrial target."
"United States","New York","Rochester","2","metal fabrication | tubular assemblies | contract manufacturing","Upstate manufacturing target."
"United States","New York","Syracuse","3","metal fabrication | tubular assemblies | industrial manufacturing","Secondary upstate target."
"United States","New York","Albany","3","metal fabrication | tubular assemblies | truck equipment","Capital region coverage."
"United States","Massachusetts","Boston","3","custom fabrication | tubular assemblies | contract manufacturing","Broader northeast coverage."
"United States","Connecticut","Hartford","3","metal fabrication | tubular assemblies | industrial manufacturing","Regional New England industrial target."
"United States","Rhode Island","Providence","3","metal fabrication | tubular assemblies | custom fabrication","New England coverage."
"United States","New Hampshire","Manchester","3","metal fabrication | tubular assemblies","Secondary New England target."
"United States","Maine","Portland","3","metal fabrication | marine fabrication | tubular assemblies","Northern New England coverage."
